Country	OPB Net ID	IP/Hostname	Password	Port
Argentina	7221	argentina.freedmr.ar	passw0rd	62031
Australia	5051	hotspot.vkfreedmr.com	passw0rd	62031
Australia-2	5052	australia.oz-dmr.network	passw0rd	62031
Australia-3	5053	hot.vkfreedmr.org	passw0rd	62031
Belgium	2061	freedmr.be	PASSWORD	62031
Bulgaria	2841	sofia.freedmr.link	passw0rd	62031
Bulgaria-2	2842	lz5pn.freeddns.com	passw0rd	62031
Brasil	7241	br1.freedmr-brasil.qsl.br	passw0rd	62031
Canada-East	3022	freedmr.va2dfk.com	passw0rd	62031
Chile	7301	hotspots.freedmr.cl	p455w0rd	62031
China	4601	bd4two.site	passw0rd	62031
Colombia	7321	n2fur.ddns.net	passw0rd	62031
Colombia-Zona1	7322	freedmrcol.mine.nu	passw0rd	62031
Costa Rica	7121	freedmrcr.net	passw0rd	62031
Dominican Republic	3701	1skynet.ddns.net	passw0rd	62031
Ecuador	7401	hc3lrc.ddns.net	passw0rd	62031
EU	2349	freedmreu.gb7fr.org.uk	passw0rd	62031
El Salvador	7061	fdmr-ys1ys.ddns.net	passw0rd	62031
France-Francophonie	2088	francophonie.link	passw0rd	62031
France-Isère	2082	alpes-grenoble.ovh	passw0rd	62031
France-Lyon & Rhone	2081	lugdunum.francophonie.link	passw0rd	62031
France-Yvelines	2083	yvelines.freedmr.fr	PASSWORD	62031
Germany	2621	178.254.30.151	passw0rd	62031
Greece	2021	185.243.214.85	passw0rd	62031
Italy	2221	hotspots.freedmr.it	PASSWORD	62031
Italy-Calabria	2226	freedmr.italynetwork.org	passw0rd	62031
Italy-2222	2222	freedmr-italy2222.ns0.it	passw0rd	62031
Italy-Sicily-1	2223	freedmrsicily1.duckdns.org	passw0rd	62031
Japan	4401	ji2gycdmr.pgw.jp	passw0rd	62031
Maroc	6041	135.125.205.162	passw0rd	62031
Mexico	3341	master.freedmr.org.mx	passw0rd	62031
New Zealand 	5301	freedmr.dvnz.nz	passw0rd	62031
Nicaragua	7101	freedmr-nicaragua.ddns.net	passw0rd	62031
Pakistan	4101	dmr.pakhams.com	passw0rd	62031
Panama	7141	freedmr-hp.ddns.net	passw0rd	62031
Panama-City	7142	143.198.163.147	passw0rd	62031
Peru	7161	free.dmr-peru.net	passw0rd	62031
Philippines	5151	DX2ACV-FreeDMR.ddns.net	passw0rd	62031
Portugal	2681	freedmr.pt	PASSWORD	62031
Reunion Island	6471	freedmr-reunion.ddns.net	passw0rd	62031
Reunion Island 2	6472	vmi946983.contaboserver.net	passw0rd	62031
Russia	2501	rasp-freedmr.rn3a.online	passw0rd	62031
Sardinia	2224	freedmr-sardegna.ns0.it	passw0rd	62031
Spain	2141	freedmr-spain.duckdns.org	passw0rd	62031
Spain2	2142	freedmr-spain2.duckdns.org	passw0rd	62031
Sweden	2401	2401.freedmrsweden.se	passw0rd	62031
Switzerland	2281	freedmr-ch.ddns.net	passw0rd	62031
Thailand	5201	freedmrthailand.ddns.net	passw0rd	62031
United Kingdom	2341	hotspot.uk.freedmr.link	passw0rd	62031
United Kingdom-CYMRU	2342	cy.freedmr.cymru	passw0rd	62031
United Kingdom-OZ-DMR	2343	dmr.oz-dmr.network	passw0rd	62031
United Kingdom-SWC	2344			
United Kingdom-Scotland	2345	freedmr.m0xfn.radio	passw0rd	62031
USA-New England	3102	155.138.154.33	passw0rd	62031
USA-San Francisco	3103	us-sf.freedmr.host	passw0rd	62031
USA-New York	3106	hs.wny-digital.network	passw0rd	62031
USA-South East	3104	usasoutheast.net	passw0rd	62031
USA-Central	3105	usacentral.ddns.net	passw0rd	62031
USA-Los Angeles	3107	socal-freedmr.ddns.net	passw0rd	62031
Venezuela	7341	freedmr-venezuela.ddns.net	passw0rd	62031
Venezuela 2	7342	fdmrvzla2.ddns.net	passw0rd	62031
